x,y,z
-1.11227e+08,2.12712e+06,-1.66254e+08
-1.08873e+08,2.11214e+06,-1.6573e+08
-1.06527e+08,2.09674e+06,-1.65172e+08
-1.04189e+08,2.08092e+06,-1.64581e+08
-1.01859e+08,2.06467e+06,-1.63957e+08
-9.95384e+07,2.04801e+06,-1.633e+08
-9.72275e+07,2.03094e+06,-1.6261e+08
-9.49265e+07,2.01346e+06,-1.61888e+08
-9.2636e+07,1.99557e+06,-1.61133e+08
-9.03565e+07,1.97727e+06,-1.60346e+08
-8.80883e+07,1.95858e+06,-1.59526e+08
-8.58319e+07,1.9395e+06,-1.58675e+08
-8.35878e+07,1.92002e+06,-1.57791e+08
-8.13564e+07,1.90016e+06,-1.56877e+08
-7.91381e+07,1.87992e+06,-1.5593e+08
-7.69334e+07,1.85929e+06,-1.54953e+08
-7.47427e+07,1.8383e+06,-1.53944e+08
-7.25665e+07,1.81693e+06,-1.52905e+08
-7.04052e+07,1.7952e+06,-1.51835e+08
-6.82591e+07,1.77311e+06,-1.50735e+08
-6.61287e+07,1.75066e+06,-1.49605e+08
-6.40145e+07,1.72786e+06,-1.48445e+08
-6.19168e+07,1.70471e+06,-1.47255e+08
-5.98361e+07,1.68122e+06,-1.46036e+08
-5.77727e+07,1.65739e+06,-1.44787e+08
-5.57271e+07,1.63323e+06,-1.4351e+08
-5.36996e+07,1.60875e+06,-1.42204e+08
-5.16907e+07,1.58394e+06,-1.4087e+08
-4.97007e+07,1.55881e+06,-1.39508e+08
-4.773e+07,1.53337e+06,-1.38118e+08
-4.57791e+07,1.50762e+06,-1.367e+08
-4.38482e+07,1.48157e+06,-1.35255e+08
-4.19377e+07,1.45522e+06,-1.33783e+08
-4.00481e+07,1.42858e+06,-1.32285e+08
-3.81797e+07,1.40166e+06,-1.3076e+08
-3.63328e+07,1.37445e+06,-1.2921e+08
-3.45078e+07,1.34697e+06,-1.27633e+08
-3.27051e+07,1.31921e+06,-1.26031e+08
-3.09249e+07,1.2912e+06,-1.24404e+08
-2.91677e+07,1.26292e+06,-1.22753e+08
-2.74338e+07,1.23439e+06,-1.21077e+08
-2.57234e+07,1.20562e+06,-1.19377e+08
-2.4037e+07,1.1766e+06,-1.17653e+08
-2.23748e+07,1.14734e+06,-1.15906e+08
-2.07372e+07,1.11786e+06,-1.14136e+08
-1.91244e+07,1.08815e+06,-1.12343e+08
-1.75368e+07,1.05822e+06,-1.10528e+08
-1.59747e+07,1.02808e+06,-1.08691e+08
-1.44383e+07,997739,-1.06833e+08
-1.2928e+07,967192,-1.04953e+08
-1.1444e+07,936452,-1.03053e+08
-9.98668e+06,905522,-1.01132e+08
-8.55622e+06,874411,-9.91907e+07
-7.1529e+06,843123,-9.723e+07
-5.777e+06,811665,-9.525e+07
-4.42877e+06,780044,-9.32512e+07
-3.10846e+06,748265,-9.12339e+07
-1.81631e+06,716334,-8.91984e+07
-552553,684259,-8.71453e+07
682569,652044,-8.5075e+07
1.88883e+06,619697,-8.29877e+07
3.06602e+06,587224,-8.0884e+07
4.21392e+06,554631,-7.87642e+07
5.33231e+06,521925,-7.66288e+07
6.42101e+06,489112,-7.44782e+07
7.47981e+06,456197,-7.23128e+07
8.50852e+06,423189,-7.01331e+07
9.50697e+06,390092,-6.79394e+07
1.0475e+07,356914,-6.57322e+07
1.14123e+07,323661,-6.3512e+07
1.23189e+07,290339,-6.12791e+07
1.31946e+07,256955,-5.9034e+07
1.40392e+07,223516,-5.67771e+07
1.48525e+07,190027,-5.45089e+07
1.56344e+07,156495,-5.22298e+07
1.63848e+07,122926,-4.99403e+07
1.71036e+07,89328.1,-4.76408e+07
1.77907e+07,55706.3,-4.53317e+07
1.84458e+07,22067.4,-4.30135e+07
1.9069e+07,-11582.1,-4.06867e+07
1.96601e+07,-45235.9,-3.83516e+07
2.0219e+07,-78887.5,-3.60088e+07
2.07457e+07,-112530,-3.36587e+07
2.124e+07,-146158,-3.13017e+07
2.17018e+07,-179765,-2.89383e+07
2.21312e+07,-213344,-2.65689e+07
2.2528e+07,-246888,-2.41941e+07
2.28923e+07,-280392,-2.18142e+07
2.32238e+07,-313849,-1.94297e+07
2.35227e+07,-347253,-1.70411e+07
2.37888e+07,-380598,-1.46488e+07
2.40221e+07,-413876,-1.22533e+07
2.42227e+07,-447083,-9.85499e+06
2.43904e+07,-480212,-7.45438e+06
2.45253e+07,-513256,-5.05192e+06
2.46274e+07,-546209,-2.64804e+06
2.46967e+07,-579066,-243220
2.47331e+07,-611820,2.1621e+06
2.47368e+07,-644465,4.56747e+06
2.47077e+07,-676995,6.97243e+06
2.46458e+07,-709403,9.37653e+06
2.45512e+07,-741685,1.17793e+07
2.44239e+07,-773834,1.41804e+07
2.4264e+07,-805843,1.65792e+07
2.40715e+07,-837708,1.89754e+07
2.38465e+07,-869422,2.13684e+07
2.3589e+07,-900979,2.37579e+07
2.32992e+07,-932374,2.61435e+07
2.2977e+07,-963601,2.85246e+07
2.26226e+07,-994654,3.09008e+07
2.22361e+07,-1.02553e+06,3.32717e+07
2.18176e+07,-1.05622e+06,3.56369e+07
2.13671e+07,-1.08671e+06,3.79959e+07
2.08848e+07,-1.11702e+06,4.03482e+07
2.03708e+07,-1.14712e+06,4.26935e+07
1.98252e+07,-1.17701e+06,4.50314e+07
1.92481e+07,-1.20669e+06,4.73613e+07
1.86397e+07,-1.23615e+06,4.96829e+07
1.80001e+07,-1.26539e+06,5.19958e+07
1.73295e+07,-1.29441e+06,5.42995e+07
1.66279e+07,-1.32318e+06,5.65936e+07
1.58956e+07,-1.35173e+06,5.88777e+07
1.51327e+07,-1.38002e+06,6.11513e+07
1.43394e+07,-1.40807e+06,6.34142e+07
1.35158e+07,-1.43586e+06,6.56658e+07
1.26622e+07,-1.4634e+06,6.79058e+07
1.17786e+07,-1.49067e+06,7.01337e+07
1.08654e+07,-1.51768e+06,7.23493e+07
9.92258e+06,-1.54441e+06,7.4552e+07
8.9505e+06,-1.57087e+06,7.67414e+07
7.94929e+06,-1.59704e+06,7.89173e+07
6.91919e+06,-1.62293e+06,8.10792e+07
5.86039e+06,-1.64852e+06,8.32267e+07
4.77312e+06,-1.67382e+06,8.53594e+07
