x,y,z
-1.49598e+08,1.0358,2555.28
-1.49598e+08,1.04068,2566.99
-1.49598e+08,1.04553,2578.61
-1.49598e+08,1.05035,2590.15
-1.49598e+08,1.05514,2601.6
-1.49598e+08,1.05989,2612.98
-1.49598e+08,1.06461,2624.27
-1.49598e+08,1.0693,2635.47
-1.49598e+08,1.07396,2646.59
-1.49598e+08,1.07859,2657.62
-1.49598e+08,1.08318,2668.57
-1.49598e+08,1.08774,2679.43
-1.49598e+08,1.09227,2690.21
-1.49598e+08,1.09677,2700.9
-1.49598e+08,1.10123,2711.5
-1.49598e+08,1.10566,2722.01
-1.49598e+08,1.11005,2732.43
-1.49598e+08,1.11441,2742.77
-1.49598e+08,1.11874,2753.01
-1.49598e+08,1.12303,2763.17
-1.49598e+08,1.12729,2773.23
-1.49598e+08,1.13151,2783.21
-1.49598e+08,1.1357,2793.09
-1.49598e+08,1.13985,2802.88
-1.49598e+08,1.14397,2812.59
-1.49598e+08,1.14805,2822.2
-1.49598e+08,1.1521,2831.72
-1.49598e+08,1.15611,2841.14
-1.49598e+08,1.16008,2850.48
-1.49598e+08,1.16402,2859.72
-1.49598e+08,1.16793,2868.87
-1.49598e+08,1.1718,2877.93
-1.49598e+08,1.17563,2886.9
-1.49598e+08,1.17943,2895.77
-1.49598e+08,1.18319,2904.55
-1.49598e+08,1.18691,2913.23
-1.49598e+08,1.1906,2921.83
-1.49598e+08,1.19425,2930.33
-1.49598e+08,1.19786,2938.73
-1.49598e+08,1.20144,2947.05
-1.49598e+08,1.20498,2955.27
-1.49598e+08,1.20849,2963.39
-1.49598e+08,1.21196,2971.42
-1.49598e+08,1.21539,2979.36
-1.49598e+08,1.21878,2987.21
-1.49598e+08,1.22214,2994.96
-1.49598e+08,1.22546,3002.62
-1.49598e+08,1.22874,3010.19
-1.49598e+08,1.23199,3017.66
-1.49598e+08,1.2352,3025.04
-1.49598e+08,1.23837,3032.32
-1.49598e+08,1.24151,3039.52
-1.49598e+08,1.2446,3046.62
-1.49598e+08,1.24767,3053.63
-1.49598e+08,1.25069,3060.54
-1.49598e+08,1.25368,3067.37
-1.49598e+08,1.25663,3074.1
-1.49598e+08,1.25954,3080.74
-1.49598e+08,1.26242,3087.29
-1.49598e+08,1.26526,3093.74
-1.49598e+08,1.26806,3100.11
-1.49598e+08,1.27083,3106.38
-1.49598e+08,1.27356,3112.57
-1.49598e+08,1.27625,3118.66
-1.49598e+08,1.27891,3124.67
-1.49598e+08,1.28153,3130.58
-1.49598e+08,1.28411,3136.41
-1.49598e+08,1.28666,3142.15
-1.49598e+08,1.28917,3147.8
-1.49598e+08,1.29165,3153.36
-1.49598e+08,1.29409,3158.83
-1.49598e+08,1.29649,3164.21
-1.49598e+08,1.29885,3169.51
-1.49598e+08,1.30119,3174.73
-1.49598e+08,1.30348,3179.85
-1.49598e+08,1.30574,3184.89
-1.49598e+08,1.30797,3189.85
-1.49598e+08,1.31016,3194.72
